date,VKOSPI_Label
2023-07-31,0
2023-08-01,0
2023-08-02,1
2023-08-03,1
2023-08-04,0
2023-08-07,0
2023-08-08,1
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-14,1
2023-08-16,1
2023-08-17,0
2023-08-18,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-28,0
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-04,0
2023-09-05,0
2023-09-06,1
2023-09-07,1
2023-09-08,0
2023-09-11,0
2023-09-12,1
2023-09-13,1
2023-09-14,0
2023-09-15,0
2023-09-18,1
2023-09-19,1
2023-09-20,0
2023-09-21,1
2023-09-22,0
2023-09-25,0
2023-09-26,1
2023-09-27,0
2023-10-04,1
2023-10-05,1
2023-10-06,1
2023-10-10,1
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-16,1
2023-10-17,0
2023-10-18,0
2023-10-19,1
2023-10-20,1
