,date,cny_yesterday_change,cny_night_change
0,2023-07-31,0.35,-0.82
1,2023-08-01,0.53,-0.91
2,2023-08-02,0.3,-0.88
3,2023-08-03,0.25,-0.64
4,2023-08-04,-0.09,-0.18
5,2023-08-07,0.3,-0.27
6,2023-08-08,-0.22,-0.13
7,2023-08-09,0.15,0.04
8,2023-08-10,0.62,-0.88
9,2023-08-11,0.22,-0.87
10,2023-08-14,-0.45,0.2
11,2023-08-15,0.11,0.29
12,2023-08-16,-0.11,-0.06
13,2023-08-17,0.07,0.0
14,2023-08-18,-0.18,0.01
15,2023-08-21,-0.13,0.22
16,2023-08-22,-0.88,0.92
17,2023-08-23,-0.07,0.82
18,2023-08-24,-0.53,0.51
19,2023-08-25,-0.07,0.51
20,2023-08-28,-0.34,0.38
21,2023-08-29,0.29,-0.01
22,2023-08-30,0.46,-0.78
23,2023-08-31,-0.65,0.16
24,2023-09-01,-0.23,0.8
25,2023-09-04,0.36,-0.2
26,2023-09-05,0.08,-0.52
27,2023-09-06,-0.25,0.08
28,2023-09-07,-0.2,0.35
29,2023-09-08,-0.08,0.17
30,2023-09-11,-0.04,0.06
31,2023-09-12,0.26,-0.28
32,2023-09-13,-0.01,-0.38
33,2023-09-14,-0.07,0.03
34,2023-09-15,-0.67,0.68
35,2023-09-18,0.26,0.37
36,2023-09-19,0.41,-0.71
37,2023-09-20,0.13,-0.59
38,2023-09-21,-0.29,0.1
39,2023-09-22,-0.01,0.18
40,2023-09-25,0.96,-1.08
41,2023-09-26,0.03,-1.1
42,2023-09-27,-0.31,0.21
43,2023-09-28,0.09,0.14
44,2023-09-29,0.23,-0.38
45,2023-10-02,0.28,-0.61
46,2023-10-03,-0.77,0.42
47,2023-10-04,-0.5,1.22
48,2023-10-05,-0.14,0.58
49,2023-10-06,0.29,-0.16
50,2023-10-09,-0.54,0.17
51,2023-10-10,-0.38,0.81
52,2023-10-11,0.66,-0.37
53,2023-10-12,0.15,-0.85
54,2023-10-13,-0.46,0.23
55,2023-10-16,0.3,0.14
56,2023-10-17,-0.02,-0.35
57,2023-10-18,0.05,-0.16
58,2023-10-19,-0.65,0.5
59,2023-10-20,-0.61,1.16
