,date,ks200_p_change(%),ks200_p_range
0,2023-07-31,-0.02698,14.0
1,2023-08-01,0.33054,22.87
2,2023-08-02,-0.03539,14.04
3,2023-08-03,0.1994,22.67
4,2023-08-04,0.06531,12.62
5,2023-08-07,0.1972,14.16
6,2023-08-08,0.15973,16.09
7,2023-08-09,0.06783,23.9
8,2023-08-10,0.11955,7.65
9,2023-08-11,-0.33251,17.65
10,2023-08-14,-0.60405,16.6
11,2023-08-16,-0.35933,18.01
12,2023-08-17,0.34888,30.86
13,2023-08-18,0.18385,22.07
14,2023-08-21,0.12023,12.71
15,2023-08-22,0.35592,16.76
16,2023-08-23,-0.2107,12.5
17,2023-08-24,-0.01424,10.46
18,2023-08-25,0.16298,18.81
19,2023-08-28,0.21959,13.06
20,2023-08-29,-0.1383,11.71
21,2023-08-30,-0.00739,8.97
22,2023-08-31,-0.19351,11.25
23,2023-09-01,-0.06947,17.36
24,2023-09-04,-0.21067,10.66
25,2023-09-05,-0.1805,10.69
26,2023-09-06,-0.08827,8.73
27,2023-09-07,-0.21379,15.22
28,2023-09-08,0.00669,14.18
29,2023-09-11,-0.18599,14.16
30,2023-09-12,-0.28636,20.88
31,2023-09-13,0.14983,14.07
32,2023-09-14,0.02513,7.86
33,2023-09-15,0.37808,20.34
34,2023-09-18,-0.02242,11.88
35,2023-09-19,-0.36077,12.69
36,2023-09-20,-0.00039,11.32
37,2023-09-21,-0.46726,18.17
38,2023-09-22,0.283,11.07
39,2023-09-25,-0.15079,11.6
40,2023-09-26,-0.17434,28.84
41,2023-09-27,0.03918,16.66
42,2023-10-04,-0.28697,25.91
43,2023-10-05,0.23856,20.71
44,2023-10-06,-0.04925,14.04
45,2023-10-10,-0.28898,15.89
46,2023-10-11,-0.02777,16.21
47,2023-10-12,0.13965,10.62
48,2023-10-13,0.05326,12.23
49,2023-10-16,-0.20555,15.99
50,2023-10-17,-0.10864,8.38
51,2023-10-18,-0.07244,11.33
52,2023-10-19,0.33926,12.66
53,2023-10-20,-0.44984,29.01
