,date,cny_yesterday_change,cny_night_change
1,2023-10-26,0.14,-0.05
2,2023-10-25,-0.01,-0.53
3,2023-10-24,0.49,-0.62
4,2023-10-23,0.09,0.41
5,2023-10-20,-0.61,1.16
6,2023-10-19,-0.65,0.5
7,2023-10-18,0.05,-0.16
8,2023-10-17,-0.02,-0.35
9,2023-10-16,0.3,0.14
10,2023-10-13,-0.46,0.23
11,2023-10-12,0.15,-0.85
12,2023-10-11,0.66,-0.37
13,2023-10-10,-0.38,0.81
14,2023-10-09,-0.54,0.17
15,2023-10-06,0.29,-0.16
16,2023-10-05,-0.14,0.58
17,2023-10-04,-0.5,1.22
18,2023-10-03,-0.77,0.42
19,2023-10-02,0.28,-0.61
20,2023-09-29,0.23,-0.38
21,2023-09-28,0.09,0.14
22,2023-09-27,-0.31,0.21
23,2023-09-26,0.03,-1.1
24,2023-09-25,0.96,-1.08
25,2023-09-22,-0.01,0.18
26,2023-09-21,-0.29,0.1
27,2023-09-20,0.13,-0.59
28,2023-09-19,0.41,-0.71
29,2023-09-18,0.26,0.37
30,2023-09-15,-0.67,0.68
31,2023-09-14,-0.07,0.03
32,2023-09-13,-0.01,-0.38
33,2023-09-12,0.26,-0.28
34,2023-09-11,-0.04,0.06
35,2023-09-08,-0.08,0.17
36,2023-09-07,-0.2,0.35
37,2023-09-06,-0.25,0.08
38,2023-09-05,0.08,-0.52
39,2023-09-04,0.36,-0.2
40,2023-09-01,-0.23,0.8
41,2023-08-31,-0.65,0.16
42,2023-08-30,0.46,-0.78
43,2023-08-29,0.29,-0.01
44,2023-08-28,-0.34,0.38
45,2023-08-25,-0.07,0.51
46,2023-08-24,-0.53,0.51
47,2023-08-23,-0.07,0.82
48,2023-08-22,-0.88,0.92
49,2023-08-21,-0.13,0.22
50,2023-08-18,-0.18,0.01
51,2023-08-17,0.07,0.0
52,2023-08-16,-0.11,-0.06
53,2023-08-15,0.11,0.29
54,2023-08-14,-0.45,0.2
55,2023-08-11,0.22,-0.87
56,2023-08-10,0.62,-0.88
57,2023-08-09,0.15,0.04
58,2023-08-08,-0.22,-0.13
59,2023-08-07,0.3,-0.27
60,2023-08-04,-0.09,-0.18
61,2023-08-03,0.25,-0.64
62,2023-08-02,0.3,-0.88
63,2023-08-01,0.53,-0.91
64,2023-07-31,0.35,-0.82
65,2023-07-28,0.45,0.06
