,date,jpy_yesterday_change,jpy_night_change
1,2023-10-26,0.25,-0.03
2,2023-10-25,-0.15,-0.29
3,2023-10-24,0.37,-0.3
4,2023-10-23,-0.11,0.57
5,2023-10-20,-0.57,1.08
6,2023-10-19,-0.65,0.42
7,2023-10-18,0.15,-0.2
8,2023-10-17,-0.06,-0.13
9,2023-10-16,0.13,0.24
10,2023-10-13,-0.41,-0.08
11,2023-10-12,0.37,-0.66
12,2023-10-11,0.26,0.26
13,2023-10-10,-0.62,1.15
14,2023-10-09,-0.62,0.02
15,2023-10-06,0.55,-0.05
16,2023-10-05,-0.69,0.73
17,2023-10-04,-0.08,0.87
18,2023-10-03,-0.83,-0.08
19,2023-10-02,0.84,-0.93
20,2023-09-29,-0.01,-0.01
21,2023-09-28,0.03,0.14
22,2023-09-27,-0.26,0.51
23,2023-09-26,-0.35,-0.63
24,2023-09-25,0.88,-0.8
25,2023-09-22,-0.16,0.99
26,2023-09-21,-0.95,-0.02
27,2023-09-20,0.92,-0.92
28,2023-09-19,-0.03,-0.17
29,2023-09-18,0.17,0.14
30,2023-09-15,-0.36,0.58
31,2023-09-14,-0.37,0.23
32,2023-09-13,0.1,0.08
33,2023-09-12,-0.29,0.58
34,2023-09-11,-0.36,0.83
35,2023-09-08,-0.54,0.23
36,2023-09-07,-0.34,0.08
37,2023-09-06,0.16,-0.56
38,2023-09-05,0.32,-0.32
39,2023-09-04,-0.06,0.24
40,2023-09-01,-0.27,1.25
41,2023-08-31,-1.08,0.48
42,2023-08-30,0.58,-0.72
43,2023-08-29,0.11,-0.14
44,2023-08-28,-0.01,0.12
45,2023-08-25,-0.14,0.84
46,2023-08-24,-0.78,1.44
47,2023-08-23,-0.73,0.99
48,2023-08-22,-0.37,0.16
49,2023-08-21,0.13,0.41
50,2023-08-18,-0.67,0.28
51,2023-08-17,0.27,-0.4
52,2023-08-16,0.11,0.01
53,2023-08-15,-0.2,0.29
54,2023-08-14,-0.13,-0.02
55,2023-08-11,0.14,-0.96
56,2023-08-10,0.81,-0.39
57,2023-08-09,-0.46,0.97
58,2023-08-08,-0.54,0.48
59,2023-08-07,0.02,0.2
60,2023-08-04,-0.3,-0.57
61,2023-08-03,0.86,-1.43
62,2023-08-02,0.49,-1.27
63,2023-08-01,0.74,-0.87
64,2023-07-31,0.1,0.42
65,2023-07-28,-0.56,2.55
