,현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
0,+31830,385,20231024151500,+31844,+31844,+31814,,,,
1,+31844,3609,20231024150000,+31781,+31847,+31768,,,,
2,+31792,3146,20231024144500,+31804,+31826,+31755,,,,
3,+31803,3192,20231024143000,+31772,+31843,+31772,,,,
4,+31773,3643,20231024141500,+31803,+31810,+31727,,,,
5,+31802,3429,20231024140000,+31686,+31804,+31670,,,,
6,+31672,2639,20231024134500,+31587,+31694,+31582,,,,
7,+31589,2656,20231024133000,-31524,+31631,-31520,,,,
8,-31524,2579,20231024131500,-31477,+31562,-31472,,,,
9,-31474,2122,20231024130000,+31498,+31523,+31433,,,,
10,-31480,1811,20231024124500,+31503,+31528,+31465,,,,
11,-31506,1356,20231024123000,-31438,+31508,-31435,,,,
12,-31451,1912,20231024121500,+31454,+31521,+31437,,,,
13,-31460,1524,20231024120000,+31532,+31551,+31457,,,,
14,-31532,1825,20231024114500,+31595,+31615,+31517,,,,
15,+31595,2520,20231024113000,+31574,+31627,-31527,,,,
16,+31557,3560,20231024111500,-31363,+31584,-31358,,,,
17,-31362,2658,20231024110000,+31269,+31375,+31261,,,,
18,-31285,3267,20231024104500,+31224,+31287,+31198,,,,
19,-31211,4849,20231024103000,+31286,+31304,+31177,,,,
20,-31284,5597,20231024101500,+31471,+31496,+31272,,,,
21,-31470,3827,20231024100000,+31530,+31545,+31466,,,,
22,-31528,4760,20231024094500,+31556,+31591,-31495,,,,
23,+31555,4636,20231024093000,+31628,+31653,-31527,,,,
24,+31621,5901,20231024091500,+31670,+31695,+31551,,,,
25,+31669,10344,20231024090000,+31734,+31774,+31626,,,,
26,-31550,9133,20231023153000,+31544,+31550,+31541,,,,
27,-31544,1620,20231023151500,+31558,+31569,+31534,,,,
28,-31560,4135,20231023150000,+31531,+31584,+31509,,,,
29,-31542,3321,20231023144500,+31543,+31572,+31513,,,,
30,-31542,3049,20231023143000,+31567,+31569,+31520,,,,
31,-31565,3511,20231023141500,+31557,+31577,+31520,,,,
32,-31556,2321,20231023140000,+31537,+31589,+31536,,,,
33,-31544,2390,20231023134500,+31564,+31568,+31533,,,,
